preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,total_revenue,avg_revenue_per_user,utility_gap,revenue_gap,exposure_gap,exposure_random_gap,minority_exposure,price_error_minority,price_error_all
gaussian,mle,50,0.0,0.99,3,0.9,0.25,181.563,0.6052099999999999,0.10631170173083243,0.001494545454545415,-0.05777777777777779,0.04222222222222222,0.15777777777777777,0.7662000000000001,0.89704
gaussian,mle,50,0.3,0.95,1,0.9,0.1,97.53299999999999,0.32510999999999995,0.07376796913341385,0.28142307692307694,0.043333333333333314,0.1433333333333333,0.056666666666666664,0.9423000000000001,0.91848
gaussian,mle,50,0.3,0.95,1,0.9,0.25,80.49600000000001,0.26832000000000006,0.03265108810287383,0.06385401459854015,0.03333333333333331,0.1333333333333333,0.06666666666666667,0.9423000000000001,0.91848
gaussian,mle,50,0.3,0.95,3,0.9,0.1,139.024,0.46341333333333334,0.03519110870311837,0.24842222222222227,-0.04555555555555557,0.054444444444444434,0.14555555555555555,0.9672999999999998,0.9913200000000001
gaussian,mle,50,0.3,0.95,3,0.9,0.25,144.084,0.48028,0.11948116583235968,0.36833454545454547,-0.04333333333333336,0.05666666666666664,0.14333333333333334,0.7852,0.9699999999999999
gaussian,mle,50,0.3,0.99,1,0.9,0.1,128.043,0.42681,0.1597230161206318,0.3927734418865806,0.043333333333333314,0.1433333333333333,0.056666666666666664,0.9423000000000001,0.91848
gaussian,mle,50,0.3,0.99,1,0.9,0.25,124.03799999999998,0.41345999999999994,0.1518935743276317,0.37815665356541267,0.03666666666666664,0.13666666666666666,0.06333333333333334,0.9423000000000001,0.9222400000000001
gaussian,mle,50,0.3,0.99,3,0.9,0.1,141.433,0.4714433333333333,0.07195002673725154,0.27999720149253726,-0.05444444444444446,0.045555555555555544,0.15444444444444444,1.0741,1.0830399999999998
gaussian,mle,50,0.3,0.99,3,0.9,0.25,140.22899999999998,0.46742999999999996,0.07239096358187946,0.24001327885597556,-0.05444444444444446,0.045555555555555544,0.15444444444444444,0.961,1.0039
gaussian,mle,50,0.7,0.95,1,0.9,0.1,130.06399999999996,0.4335466666666665,0.05102044552194414,0.05900673778775967,0.026666666666666644,0.12666666666666665,0.07333333333333333,1.2128999999999999,1.1411
gaussian,mle,50,0.7,0.95,1,0.9,0.25,126.35899999999998,0.4211966666666666,0.045054398524086506,0.04548483997754066,0.026666666666666644,0.12666666666666665,0.07333333333333333,1.2254,1.12978
gaussian,mle,50,0.7,0.95,3,0.9,0.1,55.40799999999999,0.1846933333333333,-0.021577935868676207,-0.028294999400407722,-0.06333333333333335,0.03666666666666665,0.16333333333333333,1.3256999999999999,1.33706
