pricing_model,preference_model,utility_gap_M_minus_m,purchase_gap_M_minus_m,revenue_gap_M_minus_m,recommended_value_gap_M_minus_m,best_recommended_value_gap_M_minus_m,overall_minority_item_exposure,minority_population_share,random_minority_item_share,exposure_representation_gap,exposure_random_gap,total_revenue,avg_revenue_per_user,overall_purchase_rate,minority_item_purchase_share,avg_shown_price,avg_oracle_price_all_items,avg_final_mle_price_all_items,avg_abs_mle_oracle_price_error_all_items,avg_abs_mle_oracle_price_error_minority_items,avg_abs_mle_oracle_price_error_majority_items,avg_oracle_r_star_minority_items,avg_oracle_r_star_majority_items,avg_mle_exposures_minority_items,avg_mle_exposures_majority_items,n_minority_preferred_items
fixed,zipfian,0.44447987611476675,0.75,0.5625,0.1556097237984273,0.6040920944130406,0.15266666666666664,0.09999999999999998,0.2,-0.05266666666666667,0.047333333333333366,277.5,0.555,0.74,0.004,0.75,0.18651999999999996,,,,,0.047838430566676526,0.061881290215895904,0.0,0.0,20.0
oracle,zipfian,0.08369264043849825,0.16521739130434787,0.6268782608695653,0.15589972510196382,0.6040920944130406,0.15266666666666664,0.09999999999999998,0.2,-0.05266666666666667,0.047333333333333366,367.66400000000004,0.7353280000000001,0.902,0.036,0.4287973333333334,0.18651999999999996,,,,,0.047838430566676526,0.061881290215895904,0.0,0.0,20.0
mle,zipfian,0.5123988303142756,0.6780303030303031,0.5059924242424243,0.16217774524377926,0.6628459041513162,0.14533333333333331,0.09999999999999998,0.2,-0.04533333333333334,0.0546666666666667,242.19500000000005,0.4843900000000001,0.73,0.008,1.3129533333333334,0.18651999999999996,1.5589600000000001,1.3913000000000002,1.3849500000000001,1.3928875,0.047838430566676526,0.061881290215895904,10.9,16.025,20.0
