pricing_model,preference_model,utility_gap_M_minus_m,purchase_gap_M_minus_m,revenue_gap_M_minus_m,recommended_value_gap_M_minus_m,best_recommended_value_gap_M_minus_m,overall_minority_item_exposure,minority_population_share,random_minority_item_share,exposure_representation_gap,exposure_random_gap,total_revenue,avg_revenue_per_user,overall_purchase_rate,minority_item_purchase_share,avg_shown_price,avg_oracle_price_all_items,avg_final_mle_price_all_items,avg_abs_mle_oracle_price_error_all_items,avg_abs_mle_oracle_price_error_minority_items,avg_abs_mle_oracle_price_error_majority_items,avg_oracle_r_star_minority_items,avg_oracle_r_star_majority_items,avg_mle_exposures_minority_items,avg_mle_exposures_majority_items,n_minority_preferred_items
fixed,zipfian,0.44447987611476675,0.75,0.5625,0.1556097237984273,0.6040920944130406,0.15266666666666664,0.09999999999999998,0.2,-0.05266666666666667,0.047333333333333366,277.5,0.555,0.74,0.004,0.75,0.18651999999999996,,,,,0.047838430566676526,0.061881290215895904,0.0,0.0,20.0
oracle,zipfian,0.08369264043849825,0.16521739130434787,0.6268782608695653,0.15589972510196382,0.6040920944130406,0.15266666666666664,0.09999999999999998,0.2,-0.05266666666666667,0.047333333333333366,367.66400000000004,0.7353280000000001,0.902,0.036,0.4287973333333334,0.18651999999999996,,,,,0.047838430566676526,0.061881290215895904,0.0,0.0,20.0
mle,zipfian,0.3298618608027986,0.6642119775379132,0.6131605971956018,0.1365185859814841,0.6010599418944099,0.15066666666666667,0.09999999999999998,0.2,-0.05066666666666669,0.04933333333333334,293.207,0.586414,0.674,0.008,1.3826626666666666,0.18651999999999996,1.62616,1.4434200000000001,1.45715,1.4399875,0.047838430566676526,0.061881290215895904,11.3,15.925,20.0
